	NAME	FNAME	POSITION	POSITION2	HAND	OVERALLRTG	FGPBASE	THREEPTBAS	FTPBASE	DNKABILITY	STLABILITY	BLKABILITY	OREABILITY	DREABILITY	BALABILITY	OFFABILITY	DEFABILITY	SPEED	QUICK	JUMP	DRIBBLE	DSTRENGTH	DHARDY	DSHOOTRANG	FATIGUE	INSIDESC	THREEPTATT	PRIMACY	SFGATT	SFGMAD	STHREEATT	STHREEMAD	SFTATT	SFTMAD	SBLOCKS	SOFFREB	SASSISTS	SPERFOUL	SSTEALS	SDEFREB	STURNOVER	SMINUTES	SGAMES	SGSTART	CHEMTYPE	year
0	Williams	Aaron	1.0	0.0	1	58	45	0	68	69	28	39	43.0	70.0	11	43.0	60.0	58	51	73	20	68	61	12	50	65.0	0.0	27	53	29	1	0	22	18	14	27	8	57	7	57	18	372	38	7	7	08
1	Foyle	Adonal	0.0	0.0	0	63	45	0	61	60	27	83	73.0	75.0	15	43.0	77.0	55	51	40	18	81	45	12	61	55.0	0.0	25	85	48	0	0	25	11	50	53	19	62	11	77	23	475	48	6	7	08
2	Henderson	Alan	1.0	0.0	0	61	48	0	53	51	43	48	87.0	74.0	8	43.0	65.0	53	52	40	44	68	50	12	50	70.0	0.0	26	67	43	0	0	47	33	12	49	11	61	9	61	12	418	38	5	6	08
3	Iverson	Allen	3.0	4.0	0	90	85	70	81	40	89	10	12.0	40.0	90	93.0	90.0	99	99	80	99	37	90	25	91	60.0	19.0	99	1313	581	197	62	610	485	13	26	468	98	123	169	268	2763	65	64	9	08
4	Mourning	Alonzo	0.0	1.0	0	77	55	0	58	79	20	87	65.0	88.0	55	76.0	75.0	60	61	73	37	88	55	12	50	76.0	0.0	52	425	238	0	0	308	185	178	123	15	216	13	223	129	1571	77	43	8	08
5	Daniels	Antonio	4.0	3.0	0	70	62	59	81	48	44	1	11.0	39.0	81	78.0	56.0	74	69	65	72	59	71	23	62	49.0	26.0	60	389	172	63	19	250	208	9	16	288	80	39	136	69	1760	80	8	2	08
6	Johnson	Anthony	4.0	4.0	0	72	70	64	75	45	60	12	14.0	43.0	84	66.0	68.0	74	74	40	73	65	69	25	70	43.0	24.0	49	343	142	73	25	61	46	3	20	201	121	33	80	76	1300	67	17	6	08
7	McDyess	Antonio	1.0	0.0	0	71	62	0	65	60	46	35	74.0	78.0	18	78.0	64.0	70	70	85	35	71	50	12	56	74.0	0.0	47	540	284	0	0	139	96	65	164	74	238	61	328	75	1730	82	3	2	08
8	Parker	Anthony	3.0	2.0	0	62	65	47	78	50	30	12	22.0	28.0	51	60.0	45.0	66	67	50	72	38	60	20	70	60.0	1.0	50	687	328	261	115	158	132	11	58	153	131	73	226	71	2438	73	73	10	08
9	Walker	Antoine	2.0	1.0	0	78	70	67	62	60	50	30	48.0	78.0	69	75.0	60.0	62	59	70	62	71	75	25	69	70.0	20.0	68	668	265	305	84	105	46	17	94	133	172	48	250	141	1817	78	15	6	08
10	Croshere	Austin	1.0	2.0	0	67	71	67	88	57	48	14	44.0	73.0	25	67.0	59.0	59	52	50	54	69	48	25	59	52.0	35.0	46	222	78	91	26	52	45	6	31	43	67	14	153	33	726	61	2	6	08
11	Wallace	Ben	0.0	1.0	0	84	49	7	41	80	80	90	82.0	91.0	24	51.0	99.0	70	70	80	24	88	88	13	80	64.0	1.0	40	424	192	5	1	267	109	156	300	185	154	111	516	101	2695	77	77	3	08
12	Jackson	Bobby	4.0	3.0	0	73	73	74	86	34	48	5	33.0	60.0	53	81.0	74.0	90	90	57	70	48	55	25	50	54.0	38.0	69	518	204	165	54	168	130	6	45	140	101	50	134	78	1333	56	2	6	08
13	Sura	Bob	4.0	3.0	0	72	62	65	75	40	60	5	32.0	70.0	82	62.0	59.0	73	77	55	70	51	60	25	67	46.0	31.0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	08
14	Barry	Brent	4.0	3.0	0	67	70	75	66	80	40	18	10.0	49.0	66	60.0	39.0	69	66	55	65	52	53	25	70	40.0	50.0	44	425	202	287	128	117	103	12	15	135	90	56	143	61	1628	75	28	2	08
15	Bowen	Bruce	2.0	3.0	0	70	66	72	60	34	81	23	15.0	46.0	22	48.0	90.0	68	85	60	56	48	90	25	72	51.0	42.0	31	467	189	232	89	73	43	25	25	115	172	62	197	65	2460	82	82	2	08
