	NAME	FNAME	POSITION	POSITION2	HAND	OVERALLRTG	FGPBASE	THREEPTBAS	FTPBASE	DNKABILITY	STLABILITY	BLKABILITY	OREABILITY	DREABILITY	BALABILITY	OFFABILITY	DEFABILITY	SPEED	QUICK	JUMP	DRIBBLE	DSTRENGTH	DHARDY	DSHOOTRANG	FATIGUE	INSIDESC	THREEPTATT	PRIMACY	SFGATT	SFGMAD	STHREEATT	STHREEMAD	SFTATT	SFTMAD	SBLOCKS	SOFFREB	SASSISTS	SPERFOUL	SSTEALS	SDEFREB	STURNOVER	SMINUTES	SGAMES	SGSTART	CHEMTYPE	year
0	McKie	Aaron	4	3	0	67	72	58.0	76	10	78	23	14	70	44	25	74	78	65	50	62	57	87	23	50	49	42.0	23	12	3	2	0	2	1	0	3	11	7	5	17	2	122	14	0	6	07
1	Williams	Aaron	1	0	1	58	45	0.0	68	69	28	39	43	70	11	43	60	58	51	73	20	68	61	12	50	65	0.0	27	176	91	0	0	58	40	21	64	17	138	17	117	30	791	48	5	7	07
2	Foyle	Adonal	0	0	0	63	45	0.0	61	60	27	83	73	75	15	43	77	55	51	40	18	81	45	12	61	55	0.0	25	300	152	0	0	67	41	125	143	33	215	44	281	80	1816	77	72	7	07
3	Henderson	Alan	1	0	0	61	48	0.0	53	51	43	48	87	74	8	43	65	53	52	40	44	68	50	12	50	70	0.0	26	91	47	0	0	49	33	12	60	10	58	9	77	22	536	51	3	6	07
4	Iverson	Allen	4	3	0	90	85	70.0	81	40	89	10	12	40	90	93	90	99	99	80	99	37	90	25	91	60	19.0	99	1822	815	223	72	829	675	10	44	532	121	140	188	248	3098	72	72	9	07
5	Mourning	Alonzo	0	1	0	77	55	0.0	58	79	20	87	65	88	55	76	75	60	61	73	37	88	55	12	50	76	0.0	52	315	188	1	0	224	133	173	125	11	177	13	234	79	1301	65	20	8	07
6	Daniels	Antonio	4	3	0	70	62	59.0	81	48	44	1	11	39	81	78	56	74	69	65	72	59	71	23	62	49	26.0	60	550	230	101	23	336	284	8	19	284	96	52	153	89	2265	80	17	2	07
7	Davis	Antonio	0	1	0	68	59	0.0	75	72	25	36	65	73	21	51	80	63	65	50	32	63	81	12	59	74	0.0	35	190	82	1	0	81	52	10	90	21	125	23	118	51	940	44	39	6	07
8	Hardaway	Penny	4	3	0	64	62	56.0	73	55	57	5	16	40	39	57	59	70	68	45	80	57	46	23	50	57	19.0	38	14	4	1	0	2	2	0	0	8	7	2	10	6	72	4	0	6	07
9	Johnson	Anthony	4	4	0	72	70	64.0	75	45	60	12	14	43	84	66	68	74	74	40	73	65	69	25	70	43	24.0	49	603	267	155	51	141	106	22	31	324	132	63	137	115	1980	75	53	6	07
